date,revenue,orders,aov,margin,cancelled,pipeline_sum,pipeline_orders,stale_sum,forecast,target,B2B / дилери,Shopify INTL,Офіс / телефон,Google Ads,Direct / бренд,TikTok Ads,Email / Retention,SEO,Meta Ads,Соцмережі органіка,Леся (AI-бот)
2026-08-22,488732,112,4364,228649,31,193329,35,32075,727227,1356034,156650,35650,75880,82532,26696,1300,36530,23765,5040,24440,0
2026-08-23,494502,114,4338,231558,31,191769,35,32075,707009,1356034,156650,35650,75880,82532,26696,1300,41660,23765,5040,24440,0
2026-08-24,502922,116,4336,234417,31,194499,37,35925,684240,1356034,162690,35650,75880,84912,26696,1300,41660,23765,5040,24440,0
2026-08-25,556852,120,4640,257326,32,240369,44,35925,718967,1356034,206250,35650,75880,84912,26696,1300,41660,26355,5040,24440,0
2026-08-26,586650,121,4848,271945,34,350150,47,39735,726156,1356034,206250,35650,105679,84912,26696,1300,41660,26355,5040,24440,0
2026-08-27,689474,139,4960,323209,43,295648,36,65985,815475,1356034,206250,35650,109664,113247,47851,2340,46300,52489,14540,32475,0
2026-08-28,796712,146,5457,365575,45,197295,34,66750,903819,1356034,290656,35650,116149,124789,47851,5825,46300,52489,14540,32475,1320
2026-08-29,803342,147,5465,368887,45,209670,35,66750,874218,1356034,290656,35650,116149,124789,47851,5825,46300,52489,14540,39105,1320
2026-08-30,808622,150,5391,371291,45,213930,34,79860,843483,1356034,290656,35650,116149,125309,50231,5825,46300,54869,14540,39105,1320
2026-08-31,837125,154,5436,383300,47,221897,34,74385,837125,1356034,308198,35650,116149,136269,50231,5825,46300,54869,14540,39105,1320
2026-09-01,16850,2,8425,11498,0,221055,31,86115,991299,1298538,0,16330,0,0,0,0,0,0,0,520,0
2026-09-02,28680,7,4097,16001,6,227540,32,85350,929233,1298538,3925,16330,990,6915,0,0,0,0,0,520,0
2026-09-03,61072,14,4362,30943,6,231383,31,93130,938532,1298538,13177,16330,990,6915,7990,6450,2455,2760,3485,520,0
2026-09-04,120145,21,5721,55471,6,250403,33,100630,958156,1298538,69155,16330,1755,7495,7990,6450,2455,4510,3485,520,0
2026-09-05,137835,25,5513,63995,7,264191,34,101270,955133,1298538,75200,16330,9535,8560,7990,6450,5255,4510,3485,520,0
